Catégorie,Action,clean_categorie,predicted_categorie
M3 > Commercial,Réapprovisionner le stock pour annuler les incidents pour que les voitures commencent à voler.,M3,M3
Applications collaboratives > Messagerie,RAS,Applications,Securité
Autres Applications > Logiciel Metier,Traité,Autres,M3
Autres Applications > Logiciel Metier,"OKrn
Traitement stoppé",Autres,Postes
Autres Cat. Anterieures > M3-Exécution d'une requête,Traité,M3,M3
BDI > BD,OK,BDI,CRM
BDI > BD,OK,BDI,CRM
BDI > Reporting,Corriger et execution des jobs,BDI,Securité
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
CRM > Profil,RAS,CRM,Securité
CRM > Profil,Doublon,CRM,M3
CRM > Profil,Doublon,CRM,M3
CRM > Profil,TRAITEMENT EFFECTUE,CRM,Postes
DELTA > Paie,sauvegarde effectuée,DELTA,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes
Infrastructure > Serveur I,ras,Infrastructure,CRM
Infrastructure > Serveur I,"OKrn
Merci à la hotline de mettre l'utilisateur dans le groupe QLIK DAF",Infrastructure,M3
Infrastructure > Serveur I,"OKrn
redemarrage du service apache",Infrastructure,M3
Infrastructure > Serveur I,"OK rn
Application disponible",Infrastructure,M3
Infrastructure > Serveur I,"OK
Fait",Infrastructure,M3
Infrastructure > Serveur I,OK mais certaines lignes n'ont pas été integrées,Infrastructure,M3
M3 > Achats,VOIRE CONSULTANT INDUSTRIEL,M3,M3
M3 > Achats,TRAITE,M3,M3
M3 > Achats,TRAITE,M3,CRM
M3 > Achats,TRAITE,M3,M3
M3 > Achats,TRAITE,M3,M3
M3 > Achats,TRAITE,M3,M3
M3 > Achats,OK,M3,CRM
