Catégorie,Action,clean_categorie,predicted_categorie,valid_sentence
Applications collaboratives > Messagerie,RAS,Applications,Securité,False
Autres Applications > Logiciel Metier,Traité,Autres,M3,False
Autres Applications > Logiciel Metier,"OKrn
Traitement stoppé",Autres,Postes,False
Autres Cat. Anterieures > M3-Exécution d'une requête,Traité,M3,M3,False
BDI > BD,OK,BDI,CRM,False
BDI > BD,OK,BDI,CRM,False
BDI > Reporting,Corriger et execution des jobs,BDI,Securité,False
BDI > Reporting,OK,BDI,CRM,False
BDI > Reporting,OK,BDI,CRM,False
BDI > Reporting,OK,BDI,CRM,False
BDI > Reporting,OK,BDI,CRM,False
BDI > Reporting,OK,BDI,CRM,False
CRM > Profil,RAS,CRM,Securité,False
CRM > Profil,Doublon,CRM,M3,False
CRM > Profil,Doublon,CRM,M3,False
CRM > Profil,TRAITEMENT EFFECTUE,CRM,Postes,False
DELTA > Paie,sauvegarde effectuée,DELTA,M3,False
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes,False
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes,False
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes,False
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes,False
Flotte tel. Entreprise > Chansim ou Reconduction SIM,resolu,Flotte,Postes,False
Infrastructure > Serveur I,ras,Infrastructure,CRM,False
Infrastructure > Serveur I,"OKrn
Merci à la hotline de mettre l'utilisateur dans le groupe QLIK DAF",Infrastructure,M3,False
Infrastructure > Serveur I,"OKrn
redemarrage du service apache",Infrastructure,M3,False
Infrastructure > Serveur I,"OK rn
Application disponible",Infrastructure,M3,False
Infrastructure > Serveur I,"OK
Fait",Infrastructure,M3,False
Infrastructure > Serveur I,OK mais certaines lignes n'ont pas été integrées,Infrastructure,M3,False
M3 > Achats,VOIRE CONSULTANT INDUSTRIEL,M3,M3,False
M3 > Achats,TRAITE,M3,M3,False
M3 > Achats,TRAITE,M3,CRM,False
M3 > Achats,TRAITE,M3,M3,False
M3 > Achats,TRAITE,M3,M3,False
M3 > Achats,TRAITE,M3,M3,False
M3 > Achats,OK,M3,CRM,False
M3 > Achats,TRAITE,M3,CRM,False
M3 > Achats,TRAITE,M3,CRM,False
M3 > Achats,TRAITE,M3,CRM,False
M3 > Achats,ok,M3,CRM,False
M3 > Commercial,ok,M3,CRM,False
M3 > Commercial,OK,M3,CRM,False
M3 > Commercial,ok,M3,M3,False
M3 > Commercial,ok,M3,CRM,False
M3 > Commercial,ok,M3,M3,False
M3 > Commercial,ok,M3,Postes,False
M3 > Commercial,TRAITE,M3,CRM,False
M3 > Commercial,ok,M3,CRM,False
M3 > Finance,Ramené au statut 1,M3,CRM,False
M3 > Finance,fichier intégré,M3,CRM,False
M3 > Finance,ok,M3,Postes,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,OK,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,modification des parametres d'affichage,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,OK,M3,Securité,False
M3 > Finance,ok,M3,M3,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,RAS,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
M3 > Finance,ok,M3,CRM,False
