Catégorie,Diagnostic,clean_categorie,predicted_categorie
M3 > Commercial,ras,M3,Securité
Applications collaboratives > Messagerie,RAS,Applications,Securité
Autres Applications > Logiciel Metier,ras,Autres,Securité
Autres Applications > Logiciel Metier,OK,Autres,CRM
Autres Cat. Anterieures > M3-Exécution d'une requête,ras,M3,Securité
BDI > BD,OK,BDI,CRM
BDI > BD,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
BDI > Reporting,OK,BDI,CRM
CRM > Profil,RAS,CRM,Securité
CRM > Profil,Doublon,CRM,M3
CRM > Profil,Doublon,CRM,M3
CRM > Profil,TRAITE,CRM,M3
DELTA > Paie,traité,DELTA,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Chansim,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Chansim,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANSIM,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,Chansim,Flotte,M3
Flotte tel. Entreprise > Chansim ou Reconduction SIM,CHANSIM,Flotte,M3
Infrastructure > Serveur I,ras,Infrastructure,CRM
Infrastructure > Serveur I,OK,Infrastructure,CRM
Infrastructure > Serveur I,OK,Infrastructure,Reseau
Infrastructure > Serveur I,OK,Infrastructure,Reseau
Infrastructure > Serveur I,"OK

Fait",Infrastructure,Reseau
Infrastructure > Serveur I,OK,Infrastructure,Reseau
M3 > Achats,TICKET,M3,Reseau
M3 > Achats,CONNEXION,M3,Reseau
M3 > Achats,CONNEXION,M3,M3
M3 > Achats,CONNEXION,M3,Reseau
M3 > Achats,CONNEXION,M3,Reseau
M3 > Achats,CONNEXION,M3,M3
M3 > Achats,CREATION,M3,M3
M3 > Achats,CONNEXION,M3,M3
M3 > Achats,CONNEXION,M3,M3
M3 > Achats,MAJ CP,M3,Securité
