clean_categorie_Applications_PREDICTION,clean_categorie_Autres_PREDICTION,clean_categorie_BDI_PREDICTION,clean_categorie_CRM_PREDICTION,clean_categorie_DELTA_PREDICTION,clean_categorie_E-lions_PREDICTION,clean_categorie_FE_PREDICTION,clean_categorie_Flotte_PREDICTION,clean_categorie_GESGROS_PREDICTION,clean_categorie_Infogérance_PREDICTION,clean_categorie_Infrastructure_PREDICTION,clean_categorie_M3_PREDICTION,clean_categorie_Materiel_PREDICTION,clean_categorie_Optimaint_PREDICTION,clean_categorie_Postes_PREDICTION,clean_categorie_Qualishare_PREDICTION,clean_categorie_Reseau_PREDICTION,clean_categorie_Securité_PREDICTION,clean_categorie_Système_PREDICTION,clean_categorie_Workflows_PREDICTION,clean_categorie_PREDICTION,DEPLOYMENT_APPROVAL_STATUS
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.0364662119,0.0198616726,0.0162982742,0.0467575467,0.0080546436,0.0103081077,0.0167363785,0.0142409213,0.0070158148,0.0221559874,0.020202291,0.2565898214,0.0189762659,0.0380604769,0.2382162072,0.0059041808,0.0298916298,0.1026904816,0.0150382579,0.0765348289,M3,APPROVED
0.0364662119,0.0198616726,0.0162982742,0.0467575467,0.0080546436,0.0103081077,0.0167363785,0.0142409213,0.0070158148,0.0221559874,0.020202291,0.2565898214,0.0189762659,0.0380604769,0.2382162072,0.0059041808,0.0298916298,0.1026904816,0.0150382579,0.0765348289,M3,APPROVED
0.0338753363,0.0169067523,0.0166739615,0.0665372967,0.0084220029,0.0105325695,0.0101622814,0.0140968365,0.0131048714,0.0209949702,0.0210993318,0.3824144046,0.0191427314,0.027778175,0.1504935518,0.0062457531,0.0296562592,0.0581474305,0.0150135251,0.0787019584,M3,APPROVED
0.0317418525,0.0457824588,0.0167566109,0.1601858341,0.0087202225,0.0108804379,0.0124380042,0.014026603,0.0075473214,0.0216739376,0.0254365519,0.2548400712,0.0182132278,0.0300244128,0.1628040008,0.0064351161,0.0281994904,0.0735564925,0.0179904899,0.0527468636,M3,APPROVED
0.038425422,0.0198744287,0.0166182958,0.0484185977,0.008014446,0.0102594869,0.0155713944,0.0142666276,0.0069781159,0.0221848561,0.0227345804,0.3074478176,0.0191260957,0.0395362074,0.1926547015,0.0058623881,0.0311978587,0.1286959488,0.015513308,0.0366194226,M3,APPROVED
0.038425422,0.0198744287,0.0166182958,0.0484185977,0.008014446,0.0102594869,0.0155713944,0.0142666276,0.0069781159,0.0221848561,0.0227345804,0.3074478176,0.0191260957,0.0395362074,0.1926547015,0.0058623881,0.0311978587,0.1286959488,0.015513308,0.0366194226,M3,APPROVED
0.038425422,0.0198744287,0.0166182958,0.0484185977,0.008014446,0.0102594869,0.0155713944,0.0142666276,0.0069781159,0.0221848561,0.0227345804,0.3074478176,0.0191260957,0.0395362074,0.1926547015,0.0058623881,0.0311978587,0.1286959488,0.015513308,0.0366194226,M3,APPROVED
0.038425422,0.0198744287,0.0166182958,0.0484185977,0.008014446,0.0102594869,0.0155713944,0.0142666276,0.0069781159,0.0221848561,0.0227345804,0.3074478176,0.0191260957,0.0395362074,0.1926547015,0.0058623881,0.0311978587,0.1286959488,0.015513308,0.0366194226,M3,APPROVED
0.038425422,0.0198744287,0.0166182958,0.0484185977,0.008014446,0.0102594869,0.0155713944,0.0142666276,0.0069781159,0.0221848561,0.0227345804,0.3074478176,0.0191260957,0.0395362074,0.1926547015,0.0058623881,0.0311978587,0.1286959488,0.015513308,0.0366194226,M3,APPROVED
0.0386265622,0.0198620922,0.0241177113,0.0488128808,0.0084161822,0.0107769657,0.0159165113,0.0183807693,0.0073428509,0.0225303156,0.0281350647,0.2029686076,0.0191237895,0.0401303497,0.1876586001,0.0061687078,0.0397709193,0.2120621831,0.0160508027,0.033148134,Securité,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
0.042456765,0.0142146299,0.009996902,0.336384244,0.0066815495,0.0078559782,0.0368860866,0.0092240577,0.0058889561,0.0129530852,0.0147643092,0.249598145,0.0143181923,0.0384927505,0.0486244076,0.0052018961,0.0303805762,0.0243189534,0.0231976271,0.0685608886,CRM,APPROVED
